revenu universel pour tous 		 revenu universel pour tous 		 Score: 1.0000
Pour tous, à partir de la majorité. 		 Pour tous, sans conditions. 		 Score: 0.6645
Un revenu pour tous 		 A toute personne sans revenus 		 Score: 0.6645
Un revenu pour tous 		 A toute personne sans revenus 		 Score: 0.6645
A tous, dès que la personne n'atteint pas un revenu suffisant pour vivre dignement 		 Personnes malades, retraités, stagiaires, salariés les plus pauvres 		 Score: 0.6644
étudiants et inactifs élevant leurs enfants 		 les jeunes finissant leurs études 		 Score: 0.6644
revenu universel de solidarité et non pas d'activité ! 		 Éradiquer la pauvreté dans une société solidaire 		 Score: 0.6644
Un revenu minima pour toute personne ayant la majorité ou étant émancipée 		 TOUT LE MONDE si c'est un revenu universel 		 Score: 0.6643
Revenu universel pour tous sans condition 		 TOUT LE MONDE si c'est un revenu universel 		 Score: 0.6643
Personne handicapée 		 La considération du handicap avec un taux inférieur à 80% 		 Score: 0.6643
À tout le monde sous le seuil de pauvreté. 		 Les travailleurs pauvres 		 Score: 0.6642
Revenue universelle 		 Universel = Qui s'applique à tous 		 Score: 0.6642
Un revenu non universel et non lié à l'activité. 		 Un revenu Universel pour tous 		 Score: 0.6642
UNIVERSEL c'est pour tous 		 A tout le monde 		 Score: 0.6642
UNIVERSEL c'est pour tous 		 A tout le monde 		 Score: 0.6642
UNIVERSEL c'est pour tous 		 A tout le monde 		 Score: 0.6642
Aux parents en congé parental 		 Pour les parents instructeurs 		 Score: 0.6642
A tous français respectueux des lois. 		 Nationalité Française et cotisation minimum 		 Score: 0.6642
RUA POUR TOUS 		 Pour qui 		 Score: 0.6641
Pour qui 		 RUA POUR TOUS 		 Score: 0.6641
A tout adulte en dessous du seuil de pauvreté. 		 Éradiquer la pauvreté dans une société solidaire 		 Score: 0.6641
Intégrer Allocation de solidarité spécifique (ASS) dans le revenu universel d'activité ? 		 Un revenu qui s'adapte aux allocataires 		 Score: 0.6640
contre 		 A tout majeur et mineur émancipé 		 Score: 0.6640
contrepartie du RUA 		 A TOUS MAIS AVEC DES CONDITIONS A DÉTERMINER ET A VÉRIFIER ENSEMBLE 		 Score: 0.6639
Intégration de l'aah dans le RUA 		 pas AAH 		 Score: 0.6639
NON AU RUA OUI POUR UNE AIDES AU TRAVAILLEURS PAUVRES 		 a qui verser l'aide 		 Score: 0.6638
A TOUS LES PAUVRES 		 Les Français en Europe 		 Score: 0.6638
Les personnes âgées en situation de pauvreté 		 intégrer la personne handicapée et seulement ses revenus 		 Score: 0.6638
Un revenu pour tous 		 A tous ceux qui  perçoivent un salaire , une allocation  ou une retraite inférieure au smic . 		 Score: 0.6637
A tout le monde 		 Tous les citoyens 		 Score: 0.6637
Tous les citoyens 		 A tout le monde 		 Score: 0.6637
Tous les citoyens 		 A tout le monde 		 Score: 0.6637
On ne veut plus assister les fainéants 		 Ne pas laisser de côté les publics fragiles 		 Score: 0.6637
Universel ou PAS ? 		 Universel = tous sans exceptions ou conditions 		 Score: 0.6637
étudiants et inactifs élevant leurs enfants 		 Et les étudiants 		 Score: 0.6637
Intégration de l'aah dans le RUA 		 Pas aux porteurs daah 		 Score: 0.6637
NON à la question concernant Les personnes handicapées en situation de pauvreté 		 Uniquement aux personnes seules sans enfants car elles ne cumulent pas les aides 		 Score: 0.6637
Pour tous, à partir de la majorité. 		 TUA pour tous 		 Score: 0.6637
Créer un revenu pour que chaque être humain puisse vivre dignement 		 À tout le monde sous le seuil de pauvreté. 		 Score: 0.6636
Une autre vision du revenu d'activité 		 "Rendre universel ""le revenu universel (d'activité)""" 		 Score: 0.6636
À toute personne, ayant un revenu inférieur à 2000. 		 Pour tous les publics, sous conditions de revenus 		 Score: 0.6635
trop de personnes fragilisées 		 A toutes les personnes en situation difficile temporaire ou permanente 		 Score: 0.6634
garanti de la naion 		 A tout majeur et mineur émancipé 		 Score: 0.6634
Revenu universel pour tous sans condition 		 A tous les citoyens comme est censé l'être un réel revenu universel 		 Score: 0.6633
Taux progressif pour les mineurs 		 Un RUA dès 18 ans 		 Score: 0.6633
Revenu universel à donner à tous sans conditions...revenu universel de citoyenneté 		 Quel critère de citoyenneté pour bénéficier du RUA 		 Score: 0.6633
A toute personne pour aider à atteindre un revenu décent 		 Un revenu qui s'adapte aux allocataires 		 Score: 0.6632
Cher Ministère des Solidarités et de la Santé, 		 A QUI DOIT S'ADRESSER LE RUA 		 Score: 0.6632
A cumuler avec allocations familiales 		 Prise en compte individuelle des ressources financières 		 Score: 0.6632
A tous 		 Revenu universel pour TOUS 		 Score: 0.6631
Revenu universel pour TOUS 		 A tous 		 Score: 0.6631
Revenu universel pour TOUS 		 A tous 		 Score: 0.6631
LAAH nest pas un minima comme les autres. 		 A tous mais pas aux allocataires de l'AAH 		 Score: 0.6631
NON à la question concernant Les personnes handicapées en situation de pauvreté 		 RUA à 100% du SMIC pour les personnes handicapées ne pouvant pas ou plus exercer une activité professionnelle 		 Score: 0.6630
A qui doit s'adresser le RUA: universel donc... 		 Revenue universelle 		 Score: 0.6630
Exclure l'AAH du RUA 		 A tous mais pas aux allocataires de l'AAH 		 Score: 0.6630
personnes handicapés et aidants : de vrais et potentiels consommateurs 		 Le parent qui est contraint d'arrêter de travailler pour s'occuper de son enfant en situation de handicap 		 Score: 0.6630
A toustes 		 A TOUS à condition d'être un bon CITOYEN 		 Score: 0.6629
Universel ? Donc pour tous 		 Tout le monde : c'est un revenu UNIVERSEL 		 Score: 0.6629
Aux personnes avec un solde de revenus inférieur à un certain niveau 		 Un revenu qui s'adapte aux allocataires 		 Score: 0.6628
Un revenu pour tous 		 La ressource nette par ménage : un pilotage des aides par les écarts 		 Score: 0.6628
Attention à l'amalgame 		 A tous mais attention aux casiers juridiques 		 Score: 0.6628
pour tous en fonction des revenus 		 Aux classes moyennes 		 Score: 0.6627
Tout citoyen Français 		 un revenu universel et franco-français 		 Score: 0.6625
Personne handicapée 		 personnes handicapés et aidants : de vrais et potentiels consommateurs 		 Score: 0.6625
Un revenu de base ne peut être qu'universel, c'est à dire versé à tous les membres de la communauté sans condition. 		 revenu accordé à toute personne sans travail et sans indemnité dès le début de la précarité et sans condition de ressource remontant à l'année d'avant 		 Score: 0.6624
emploi ou RUA 		 Les jeunes et les stages 		 Score: 0.6624
Un revenu universel pour chacun(e) 		 Un revenu non universel et non lié à l'activité. 		 Score: 0.6624
pour tous en fonction des revenus 		 À tout le monde sous le seuil de pauvreté. 		 Score: 0.6624
Le RUA n'est pas adapté à toutes les situations de handicap 		 Exclure du RUA toutes les personnes handicapées bénéficiaires de l'AAH qui par définition ont une Restriction Substantielle et Durable à lEmploi (RSDAE) 		 Score: 0.6623
Pour qui le RUA 		 NON AU RUA OUI POUR UNE AIDES AU TRAVAILLEURS PAUVRES 		 Score: 0.6623
Aah 		 Non a l'aah dans le RUA 		 Score: 0.6623
Aah 		 Non a l'aah dans le RUA 		 Score: 0.6623
contrepartie du RUA 		 AAH ALLOCATION ADULTE HANDICAPÉ EN DEHORS DU REVENU UNIVERSEL 		 Score: 0.6622
AAH et revnu universel 		 AAH 		 Score: 0.6622
AAH et revnu universel 		 AAH 		 Score: 0.6622
AAH et revnu universel 		 AAH 		 Score: 0.6622
AAH et revnu universel 		 AAH 		 Score: 0.6622
Le RUA s'adresserait à toutes les personnes ayant un revenu inférieur au seuil de pauvreté qui est de 1 026  		 A tous ceux qui sont en précarité, pauvreté 		 Score: 0.6622
garanti de la naion 		 A TOUS à condition d'être un bon CITOYEN 		 Score: 0.6622
A toutes les personnes  ayant des revenus inférieurs à 800 euros/mois 		 Un revenu minima pour toute personne ayant la majorité ou étant émancipée 		 Score: 0.6622
a qui verser l'aide 		 Aux personnes qui ont un projet 		 Score: 0.6620
pour tous en fonction des revenus 		 pour tous mais sous conditions 		 Score: 0.6619
"Un vrais ""Revenu Universle"" pour TOUS, modulaire et sous conditions" 		 Qui peut prétendre au Revenu Universel d'Activité 		 Score: 0.6619
Un revenu pour tous 		 RUA pour tous sans conditions 		 Score: 0.6619
Et les retraités ? 		 Ancien bénéficiaires de la prime à l 'emploi 		 Score: 0.6619
A tout les citoyens en fonction des ressources / patrimoine 		 TUA pour tous 		 Score: 0.6619
revenu accordé à toute personne sans travail et sans indemnité dès le début de la précarité et sans condition de ressource remontant à l'année d'avant 		 Les personnes avec ou sans emplois sous conditions 		 Score: 0.6619
A tous français respectueux des lois. 		 AUX FRANCAIS 		 Score: 0.6619
Étudiant et jeunes après leurs études 		 Aux étudiants ! 		 Score: 0.6618
Personnes malades, retraités, stagiaires, salariés les plus pauvres 		 Aux chômeurs en fin de droits (ASS) 		 Score: 0.6618
Un engagement envers soi et envers la société 		 A TOUS à condition d'être un bon CITOYEN 		 Score: 0.6618
"Un vrais ""Revenu Universle"" pour TOUS, modulaire et sous conditions" 		 Universel signifie pour tous ! 		 Score: 0.6618
Chaque personne en situation de fragilité sociale et économique, dès 18 ans 		 A toute personne sans activité de plus de 18 ans respectant les critères d'éligibilité suivants : 		 Score: 0.6617
Pour tous, à partir de la majorité. 		 A tous sans exception 		 Score: 0.6617
AUX PERSONNES EN RECHERCHE D' EMPLOI ( sans chômage et sans AUCUN  REVENUS  ) entre 55 et 65 ans 		 Aux personnes avec un solde de revenus inférieur à un certain niveau 		 Score: 0.6617
non à l'intégration de l'AAH dans le RUA 		 RUA et AAH 		 Score: 0.6616
non à l'intégration de l'AAH dans le RUA 		 RUA et AAH 		 Score: 0.6616
Guichet Unique de Prestations Sociales 		 Aides sociales 		 Score: 0.6616
Guichet Unique de Prestations Sociales 		 Aides sociales 		 Score: 0.6616
RUA 		 tout majeur en dessous de ce RUA 		 Score: 0.6616
RUA 		 tout majeur en dessous de ce RUA 		 Score: 0.6616
RUA 		 tout majeur en dessous de ce RUA 		 Score: 0.6616
RUA 		 tout majeur en dessous de ce RUA 		 Score: 0.6616
RUA 		 tout majeur en dessous de ce RUA 		 Score: 0.6616
RUA 		 tout majeur en dessous de ce RUA 		 Score: 0.6616
pour tous en fonction des revenus 		 Un revenu non universel et non lié à l'activité. 		 Score: 0.6615
Revenu universel pour TOUS 		 à toutes les personnes honnêtes et de bonne volonté 		 Score: 0.6614
Jeunes, handicapes, familles pauvres avec enfants 		 le quart le plus pauvre des plus de 16 ans, tout simplement 		 Score: 0.6614
Un revenu pour tous 		 le revenu de développement 		 Score: 0.6614
L'AAH n'est pas un minimum social comme les autres et ne doit pas entrer dans le périmètre de du RUA 		 A tous mais pas aux allocataires de l'AAH 		 Score: 0.6613
UNIVERSEL c'est pour tous 		 Un revenu universel pour chacun(e) 		 Score: 0.6613
A TOUS à condition d'être un bon CITOYEN 		 pour tous mais sous conditions 		 Score: 0.6613
Les personnes handicapées et leurs familles en situation de pauvreté 		 Éradiquer la pauvreté dans une société solidaire 		 Score: 0.6613
Les personnes handicapées et leurs familles en situation de pauvreté 		 A tous, et en particulier aux précaires, aux SDF et aux non-recours 		 Score: 0.6612
A qui le RUA s' adresse t il ? 		 RUA PROPORTIONNEL 		 Score: 0.6612
qui est concerné ? 		 Situation de précarité 		 Score: 0.6611
A tous 		 Tous les citoyens 		 Score: 0.6610
Tous les citoyens 		 A tous 		 Score: 0.6610
Tous les citoyens 		 A tous 		 Score: 0.6610
RUA pour tous sans conditions 		 Tous les citoyens 		 Score: 0.6610
Revenu universel à donner à tous sans conditions...revenu universel de citoyenneté 		 RUA pour tous sans conditions 		 Score: 0.6610
un revenu universel 		 le seuil de pauvreté 		 Score: 0.6610
Attribution à chaque citoyen français. 		 À tout le monde, vivant sur le territoire Français et remplissant une feuille d'impôt et n'atteignant pas un certain plafond ! 		 Score: 0.6610
A tout le monde sauf au personne handicapées 		 Les handicaps non reconnus ou partiellement 		 Score: 0.6609
Universelle 		 Un revenu Universel pour tous 		 Score: 0.6609
Un revenu universel pour chacun(e) 		 Revenu universel pour tous sans condition 		 Score: 0.6608
AUX TITULAIRES D'UNE RQTH (Reconnaissance en Qualité de Travailleur Handicapé) NE BÉNÉFICIANT PAS DE L'AAH 		 Les handicaps non reconnus ou partiellement 		 Score: 0.6608
revenu universel aussi pour les enfants 		 un revenu universel et franco-français 		 Score: 0.6608
A qui le RUA s' adresse t il ? 		 qui est concerné ? 		 Score: 0.6608
Aux classes moyennes 		 le seuil de pauvreté 		 Score: 0.6608
A qui doit s'adresser le RUA: universel donc... 		 contrepartie du RUA 		 Score: 0.6608
NON aux personnes handicapées 		 AUX TITULAIRES D'UNE RQTH (Reconnaissance en Qualité de Travailleur Handicapé) NE BÉNÉFICIANT PAS DE L'AAH 		 Score: 0.6608
"Dans RUA, il y a ""universel""" 		 A qui s adresse le rua 		 Score: 0.6607
Revenu universel à donner à tous sans conditions...revenu universel de citoyenneté 		 revenu universel pour tous 		 Score: 0.6607
Revenu universel à donner à tous sans conditions...revenu universel de citoyenneté 		 revenu universel pour tous 		 Score: 0.6607
Ne pas inclure les personnes bénéficiant de l'AAH ayant un trouble psychique 		 Le RUA ne peut sadresser aux allocataires de lAAH et de toutes les aides aux  personnes en situation de handicap 		 Score: 0.6607
A tous, sous condition de revenus 		 A tous, et en particulier aux précaires, aux SDF et aux non-recours 		 Score: 0.6606
Un revenu de base ne peut être qu'universel, c'est à dire versé à tous les membres de la communauté sans condition. 		 UNIVERSEL c'est pour tous 		 Score: 0.6606
Revenu universel pour tous 		 A tous (sinon il n'est pas universel) 		 Score: 0.6605
Revenu universel pour tous 		 A tous (sinon il n'est pas universel) 		 Score: 0.6605
Revenu universel pour tous 		 A tous (sinon il n'est pas universel) 		 Score: 0.6605
Pour toute personne qui travaillent 		 À tous 		 Score: 0.6605
Pour toute personne qui travaillent 		 À tous 		 Score: 0.6605
Pour toute personne qui travaillent 		 A toute personne pour aider à atteindre un revenu décent 		 Score: 0.6605
A toustes 		 ressources 		 Score: 0.6604
pour tous en fonction des revenus 		 le seuil de pauvreté 		 Score: 0.6604
LES BENEVOLES ASSOCIATIFS exerçant des RESPONSABILITES dans le secteur SOCIAL et SOLIDAIRE. 		 INNOVER pour une SOCIETE PLUS INCLUSIVE et moins DISCRIMINATOIRE : LES AIDANTS et ACCUEILLANTS FAMILIAUX. 		 Score: 0.6603
A TOUS LES ETUDIANTS SANS DISTINCTION 		 Ne pas laisser de côté les publics fragiles 		 Score: 0.6603
A TOUS LES ETUDIANTS SANS DISTINCTION 		 Ne pas laisser de côté les publics fragiles 		 Score: 0.6603
AAH dans RUA 		 NON À L INCLUSION DE L'AAH DANS LE FUTUR RUA 		 Score: 0.6603
Pour toi, pour moi, pour lui, pour tous 		 A tous ou à personne 		 Score: 0.6603
A TOUT CITOYEN FRANCAIS 		 LA THEORIE DU REVENU UNIVERSEL 		 Score: 0.6603
"Évitons de polluer le débat public ! Les mots ont un sens: ""Universel"" veut dire ""Qui s'applique à tous les cas"" !" 		 Universelle 		 Score: 0.6603
À tout citoyen français disposant dun revenu inférieur à 5000  mensuel. 		 revenu  universel   pour  toutes  les  personnes  ayant  un  revenu  inférieur  à1500   euros  nets  par  mois 		 Score: 0.6603
Pour qui le RUA 		 RUA POUR TOUS 		 Score: 0.6602
Pour qui le RUA 		 RUA POUR TOUS 		 Score: 0.6602
Inclure les APL dans le RUA n'est pas possible car quid des personnes handicapées à l'AAH qui doivent rester hors du cadre du RUA ?! 		 Prime d'activité pour l'ensembles des personnes en invalidité (sous conditions de ressources) 		 Score: 0.6602
A qui le RUA doit-il s'adresser ? 		 A qui s adresse le rua 		 Score: 0.6601
A tout majeur et mineur émancipé 		 A TOUS MAIS AVEC DES CONDITIONS A DÉTERMINER ET A VÉRIFIER ENSEMBLE 		 Score: 0.6600
Un revenu de base ne peut être qu'universel, c'est à dire versé à tous les membres de la communauté sans condition. 		 Le RUA s'adresserait à toutes les personnes ayant un revenu inférieur au seuil de pauvreté qui est de 1 026  		 Score: 0.6600
revenu accordé à toute personne sans travail et sans indemnité dès le début de la précarité et sans condition de ressource remontant à l'année d'avant 		 Pour tous les publics, sous conditions de revenus 		 Score: 0.6600
A tous, dès que la personne n'atteint pas un revenu suffisant pour vivre dignement 		 Les jeunes de moins de18 à 25 ans sans revenu 		 Score: 0.6599
Universel : Qui s'étend, s'applique à la totalité des objets (personnes ou choses) qui existent. 		 Universelle 		 Score: 0.6598
revenu universel aussi pour les enfants 		 le seuil de pauvreté 		 Score: 0.6598
intégrer la personne handicapée et seulement ses revenus 		 AAH (Allocation adulte Handicapé) - Qui dit activité dit pouvoir travailler 		 Score: 0.6598
Prestation universelle pour regrouper les aides 		 Tout le monde : c'est un revenu UNIVERSEL 		 Score: 0.6598
Sauf handicapés 		 Exclure l'Allocation pour Adulte Handicapé(e) du Revenu Universel d'Activité. 		 Score: 0.6597
Revenu universel à donner à tous sans conditions...revenu universel de citoyenneté 		 UNIVERSEL c'est pour tous 		 Score: 0.6597
NON à la question concernant Les personnes handicapées en situation de pauvreté 		 Pas d' RUA pour remplacer   l 'AAH du handicap psychique 		 Score: 0.6597
A toute personne sans revenus 		 Éradiquer la pauvreté dans une société solidaire 		 Score: 0.6596
A toute personne sans revenus 		 Éradiquer la pauvreté dans une société solidaire 		 Score: 0.6596
Les personnes âgées en situation de pauvreté 		 Revenu pour toutes personne en dessous du seuil de pauvreté 		 Score: 0.6596
REVENU UNIVERSEL 		 Universel . 		 Score: 0.6596
NON à la fabrique de fainéants 		 INCITER A LA REPRISE DE TRAVAIL 		 Score: 0.6596
Mères isolées et familles nombreuses 		 INNOVER pour une SOCIETE PLUS INCLUSIVE et moins DISCRIMINATOIRE : LES AIDANTS et ACCUEILLANTS FAMILIAUX. 		 Score: 0.6596
Créer un revenu pour que chaque être humain puisse vivre dignement 		 revenu  universel   pour  toutes  les  personnes  ayant  un  revenu  inférieur  à1500   euros  nets  par  mois 		 Score: 0.6595
A tous, et en particulier aux précaires, aux SDF et aux non-recours 		 La contribution pour tous 		 Score: 0.6595
Revenu universel pour tous 		 REVENU UNIVERSEL GLOBALISANT TOUTES LES AIDES 		 Score: 0.6594
Revenu universel pour tous 		 REVENU UNIVERSEL GLOBALISANT TOUTES LES AIDES 		 Score: 0.6594
Revenu universel pour tous 		 REVENU UNIVERSEL GLOBALISANT TOUTES LES AIDES 		 Score: 0.6594
Les Français en Europe 		 un revenu universel et franco-français 		 Score: 0.6593
Nationalité Française et cotisation minimum 		 A tous à partir de 18 ans si on est Français 		 Score: 0.6593
TUA pour tous 		 A TOUS LES PAUVRES 		 Score: 0.6593
Préférennce 		 Revenu adapté 		 Score: 0.6593
Monoparental et étudiants 		 AU PARENT ISOLE 		 Score: 0.6592
Des allocations avec des objectifs différents 		 Prise en compte individuelle des ressources financières 		 Score: 0.6592
Le RUA n'est pas adapté à toutes les situations de handicap 		 Prime d'activité pour l'ensembles des personnes en invalidité (sous conditions de ressources) 		 Score: 0.6592
A TOUS LES FRANCAIS 		 Un revenu d'existence pour tous les Français 		 Score: 0.6592
UNIVERSEL c'est pour tous 		 À tous 		 Score: 0.6592
UNIVERSEL c'est pour tous 		 À tous 		 Score: 0.6592
Les jeunes en situation de pauvreté 		 A tous, dès que la personne n'atteint pas un revenu suffisant pour vivre dignement 		 Score: 0.6592
La contribution pour tous 		 A tous les bénéficiaires potentiels sans exception 		 Score: 0.6591
A TOUS LES PAUVRES 		 POUR UN REVENU DE BASE VRAIMENT UNIVERSEL 		 Score: 0.6591
étudiants et inactifs élevant leurs enfants 		 Aux mères au foyer 		 Score: 0.6590
ouvert à tous dès 18 ans 		 A tous à partir de 18 ans si on est Français 		 Score: 0.6590
Pour tous les publics, sous conditions de revenus 		 Pour tous individuellement, imposé 		 Score: 0.6590
pour tous en fonction des revenus 		 Revenue universelle 		 Score: 0.6589
Intégrer Allocation de solidarité spécifique (ASS) dans le revenu universel d'activité ? 		 Un revenu Universel pour tous 		 Score: 0.6589
À tout le monde 		 Revenu universel pour TOUS 		 Score: 0.6589
Refus intégration AAH et de l'APL et RSA dans le RUA + Minimum à garantir 		 l'AAH ne doit pas devenir RUA 		 Score: 0.6589
qui est concerné ? 		 Liste des personnes qui devraient le percevoir : 		 Score: 0.6588
"Un vrais ""Revenu Universle"" pour TOUS, modulaire et sous conditions" 		 Revenu adapté 		 Score: 0.6588
REVENU UNIVERSEL 		 "Rendre universel ""le revenu universel (d'activité)""" 		 Score: 0.6588
personnes handicapés et aidants : de vrais et potentiels consommateurs 		 AAH (Allocation adulte Handicapé) - Qui dit activité dit pouvoir travailler 		 Score: 0.6588
Pour qui 		 A qui le RUA doit-il s'adresser ? 		 Score: 0.6587
Pour toi, pour moi, pour lui, pour tous 		 A toutes &amp 		 Score: 0.6587
le revenu universel comme son nom l'indique doit s'appliquer à toutes et tous . 		 A tous les bénéficiaires potentiels sans exception 		 Score: 0.6587
"Un ""vrai"" revenu universel pour tous." 		 revenu  universel   pour  toutes  les  personnes  ayant  un  revenu  inférieur  à1500   euros  nets  par  mois 		 Score: 0.6587
AIDE RETOUR A L'EMPLOI 		 INCITER A LA REPRISE DE TRAVAIL 		 Score: 0.6586
Comme pour le chomage 		 A Tous 		 Score: 0.6586
RUA à 100% du SMIC pour les personnes handicapées ne pouvant pas ou plus exercer une activité professionnelle 		 personne en situation de handicap 		 Score: 0.6586
Tous les pauvres sauf les personnes handicapées 		 Personnes malades, retraités, stagiaires, salariés les plus pauvres 		 Score: 0.6586
A qui le RUA s' adresse t il ? 		 RU 		 Score: 0.6585
Revenu universel pour TOUS 		 A tous . 		 Score: 0.6585
Aide aux foyers uni-parentaux 		 AU PARENT ISOLE 		 Score: 0.6584
ouvert à tous dès 18 ans 		 Revenu Universel = Toute personne de plus de 18 ans 		 Score: 0.6583
beneficiaires 		 Les aidants 		 Score: 0.6583
Un revenu universel proche du SMIC 		 le revenu de développement 		 Score: 0.6583
Le revenu universel doit être attribué dès 18 ans 		 Un revenu minima pour toute personne ayant la majorité ou étant émancipée 		 Score: 0.6582
A tous les citoyens, sous condition de ressources uniquement 		 Pour tous, sans conditions. 		 Score: 0.6582
RUA et AAH 		 Inclure l'ASS au RUA 		 Score: 0.6582
RUA et AAH 		 Inclure l'ASS au RUA 		 Score: 0.6582
RUA 		 A qui le RUA s' adresse t il ? 		 Score: 0.6581
A qui le RUA s' adresse t il ? 		 RUA 		 Score: 0.6581
A qui le RUA s' adresse t il ? 		 RUA 		 Score: 0.6581
A qui le RUA s' adresse t il ? 		 RUA 		 Score: 0.6581
A qui le RUA s' adresse t il ? 		 RUA 		 Score: 0.6581
A qui le RUA s' adresse t il ? 		 RUA 		 Score: 0.6581
A TOUS LES PAUVRES 		 LA THEORIE DU REVENU UNIVERSEL 		 Score: 0.6581
Aide aux foyers uni-parentaux 		 Mère travaillant élevant seule des enfants 		 Score: 0.6581
UNIVERSEL c'est pour tous 		 Universel = tous sans exceptions ou conditions 		 Score: 0.6581
pour tous 		 A Tous dès la naissance et toute la vie 		 Score: 0.6581
Équité 		 RU 		 Score: 0.6581
Pour chaque être humain, quelque soit l'âge, la nationalité. 		 A tout le monde dès la naissance 		 Score: 0.6580
A TOUS LES ETUDIANTS SANS DISTINCTION 		 A tout majeur et mineur émancipé 		 Score: 0.6579
A TOUS LES ETUDIANTS SANS DISTINCTION 		 A tout majeur et mineur émancipé 		 Score: 0.6579
Aux personnes qui se donnent la peine de  chercher du travail 		 A toute personne sans revenus 		 Score: 0.6579
Aux personnes qui se donnent la peine de  chercher du travail 		 A toute personne sans revenus 		 Score: 0.6579
prioriser le revenu universel d'activité 		 Priorité aux demandeurs d'emploi et retraités 		 Score: 0.6579
Il doit venir en complément du chômage 		 Aux personnes qui se donnent la peine de  chercher du travail 		 Score: 0.6579
Les personnes âgées en situation de pauvreté 		 À toute personne, ayant un revenu inférieur à 2000. 		 Score: 0.6579
Universel signifie pour tous ! 		 POUR UN REVENU DE BASE VRAIMENT UNIVERSEL 		 Score: 0.6579
suppression du social et promotion du travail 		 2 catégories de RU : les non employables et les employables 		 Score: 0.6578
A tous les CITOYENS 		 A Tous dès la naissance et toute la vie 		 Score: 0.6578
revenu accordé à toute personne sans travail et sans indemnité dès le début de la précarité et sans condition de ressource remontant à l'année d'avant 		 A toute personne majeure sans revenu et sans patrimoine, sans condition d'âge. 		 Score: 0.6578
Pour qui le RUA 		 a qui verser l'aide 		 Score: 0.6577
AAH (Allocation adulte Handicapé) - Qui dit activité dit pouvoir travailler 		 La considération du handicap avec un taux inférieur à 80% 		 Score: 0.6577
Attention à l'amalgame 		 qui est concerné ? 		 Score: 0.6577
Un revenu pour tous 		 Pour chaque individu de la société 		 Score: 0.6576
Tout le monde 		 A Tous 		 Score: 0.6576
Tout le monde 		 A Tous 		 Score: 0.6576
Sauf handicapés 		 Taux progressif pour les mineurs 		 Score: 0.6576
A TOUS LES PAUVRES 		 RU 		 Score: 0.6576
Travailleurs pauvres et étudiants 		 Un emploi pour la société 		 Score: 0.6575
Un revenu pour tous 		 Arrêt des aides, oui à un revenu universel à tous les français. 		 Score: 0.6575
A tous les CITOYENS 		 Pour tous individuellement, imposé 		 Score: 0.6574
A TOUS LES ETUDIANTS SANS DISTINCTION 		 A tous sans exception 		 Score: 0.6574
A TOUS LES ETUDIANTS SANS DISTINCTION 		 A tous sans exception 		 Score: 0.6574
revenu universel aussi pour les enfants 		 Pour tout ceux en situation de pauvreté 		 Score: 0.6574
personne en situation de handicap 		 Pour les handicapés simplification des démarches administratives 		 Score: 0.6574
Il doit venir en complément du chômage 		 qui dit activité dit salaire 		 Score: 0.6573
Travailleurs pauvre 		 Toutes les personnes en âge de travailler et sans emploi 		 Score: 0.6572
Revenu d activite 		 Prime activité 		 Score: 0.6572
La contribution pour tous 		 à toutes les personnes honnêtes et de bonne volonté 		 Score: 0.6570
A toustes 		 RU pour qui 		 Score: 0.6570
A TOUS LES PAUVRES 		 REVENU UNIVERSEL DE BASE 		 Score: 0.6569
Un revenu universel pour chacun(e) 		 A tous les citoyens, sous condition de ressources uniquement 		 Score: 0.6569
contre 		 Situation de précarité 		 Score: 0.6568
RUA Personnes agées 		 A tout majeur et mineur émancipé 		 Score: 0.6568
le revenu universel comme son nom l'indique doit s'appliquer à toutes et tous . 		 Un revenu universel proche du SMIC 		 Score: 0.6567
AAH et revnu universel 		 Qui peut prétendre au Revenu Universel d'Activité 		 Score: 0.6567
L'AAH n'est pas un minimum social comme les autres et ne doit pas entrer dans le périmètre de du RUA 		 Les personnes bénéficiaires de L'AAH ne devraient pas être concernées 		 Score: 0.6566
Revenu universel à donner à tous sans conditions...revenu universel de citoyenneté 		 Revenu universel pour TOUS 		 Score: 0.6565
A toutes les personnes en situation difficile temporaire ou permanente 		 a qui verser l'aide 		 Score: 0.6564
RUA pour tous sans conditions 		 Un revenu Universel pour tous 		 Score: 0.6564
tout majeur en dessous de ce RUA 		 RU 		 Score: 0.6564
Pour tous 		 Pour toi, pour moi, pour lui, pour tous 		 Score: 0.6563
Pour tous 		 Pour toi, pour moi, pour lui, pour tous 		 Score: 0.6563
Pour tous 		 Pour toi, pour moi, pour lui, pour tous 		 Score: 0.6563
Pour tous 		 Pour toi, pour moi, pour lui, pour tous 		 Score: 0.6563
Pour toi, pour moi, pour lui, pour tous 		 Pour tous 		 Score: 0.6563
garanti de la naion 		 NON À L INCLUSION DE L'AAH DANS LE FUTUR RUA 		 Score: 0.6563
Toutes les personnes en âge de travailler et sans emploi 		 Priorité aux demandeurs d'emploi et retraités 		 Score: 0.6563
Revenu universel pour TOUS 		 Tout le monde : c'est un revenu UNIVERSEL 		 Score: 0.6562
Un revenu minima pour toute personne ayant la majorité ou étant émancipée 		 A tous les citoyens comme est censé l'être un réel revenu universel 		 Score: 0.6562
Revenu pour toutes personne en dessous du seuil de pauvreté 		 NON à la question concernant Les personnes handicapées en situation de pauvreté 		 Score: 0.6562
un revenu universel 		 le revenu de développement 		 Score: 0.6561
