TO ALL FRENCH CITIZENS 		 To all French citizens 		 Score: 1.0000
income granted to any person without work and without benefit from the beginning of the precariousness and without condition of resources going back to the year before 		 Any adult without income or assets, regardless of age. 		 Score: 0.4410
A "CItoyen's VOcation Income" (REVOCI / "Dream too"!...) FOR EVERYONE, rather than the RUA, to reinvent/(re)enchant Work, our Society and our lives... 		 The RUA would be open to all persons with an income below the poverty line of 		 Score: 0.4410
for all according to income 		 RMA at 1300 euros net per month 		 Score: 0.4410
To ALL as long as you are a good CITIZEN 		 To all persons without income 		 Score: 0.4410
To ALL as long as you are a good CITIZEN 		 To all persons without income 		 Score: 0.4410
TO ALL THE POOR 		 The RUA would be open to all persons with an income below the poverty line of 		 Score: 0.4409
A living wage for all French people 		 UNIVERSAL BASIC INCOME 		 Score: 0.4409
Anyone with an income of less than 2000. 		 To all citizens as a real universal income is supposed to be 		 Score: 0.4409
young people completing their studies 		 And the students 		 Score: 0.4409
I want the AAH to remain a full-fledged benefit. 		 The RUA must not take into account the AAH 		 Score: 0.4408
who should receive a universal income 		 Individualize the RUA rather than granting it to a household 		 Score: 0.4408
Active Vital Income and the economy 		 For all audiences, subject to income conditions 		 Score: 0.4407
A basic income can only be universal, i.e. paid to all members of the community without condition. 		 The AAH is not an activity income. 		 Score: 0.4407
Prorated RUA with income ceiling 		 UNIVERSAL INCOME 		 Score: 0.4407
A living wage for all French people 		 To all those who receive a salary, an allowance or a pension below the smic. 		 Score: 0.4407
People with disabilities and their families experiencing poverty 		 Universal income for all without conditions 		 Score: 0.4407
RUA with anti-fraud system 		 NO TO THE RUA YES TO HELP THE WORKING POOR 		 Score: 0.4407
UNIVERSAL BASIC INCOME 		 For all audiences, subject to income conditions 		 Score: 0.4406
RUA instead of ISF deduction 		 AAH in RUA 		 Score: 0.4406
prioritize the universal activity income 		 To all persons without income 		 Score: 0.4406
prioritize the universal activity income 		 To all persons without income 		 Score: 0.4406
AAH DISABLED ADULT ALLOWANCE OUTSIDE THE UNIVERSAL INCOME 		 Unemployed persons at the end of their entitlement (ASS) 		 Score: 0.4405
universal income also for children 		 Single Minimum Income RMU 		 Score: 0.4405
To be combined with family allowances 		 + the 2nd parent 		 Score: 0.4405
Another vision of the activity income 		 UNIVERSAL INCOME COMBINING ALL FORMS OF AID 		 Score: 0.4405
AAH DISABLED ADULT ALLOWANCE OUTSIDE THE UNIVERSAL INCOME 		 An income that adapts to recipients 		 Score: 0.4405
Only for single people without children because they do not receive the same amount of aid 		 UNIVERSAL BASIC INCOME 		 Score: 0.4405
+ the 2nd parent 		 Single parent and students 		 Score: 0.4405
Universal = Applies to all 		 Why merge the universal income and the Aah 		 Score: 0.4405
Exclude the AAH from the RUA 		 "In RUA, there is 'universal'" 		 Score: 0.4404
A minimum income for everyone who has reached the age of majority or is emancipated 		 To all citizens as a real universal income is supposed to be 		 Score: 0.4404
What if we were all registered at 18? 		 All adults and emancipated minors 		 Score: 0.4404
RUA instead of ISF deduction 		 "In RUA, there is 'universal'" 		 Score: 0.4404
An income for all 		 All citizens 		 Score: 0.4404
For parent instructors 		 young people completing their studies 		 Score: 0.4404
for all according to income 		 For anyone who works 		 Score: 0.4403
The AAH is not an activity income. 		 The RUA should not apply to AAH recipients 		 Score: 0.4403
Who should the Universal Activity Income be aimed at? 		 A minimum income for everyone who has reached the age of majority or is emancipated 		 Score: 0.4403
RUA at 100% of the SMIC for disabled people who cannot or no longer work 		 TO HOLDERS OF A RQTH (Recognition as a Disabled Worker) NOT RECEIVING THE AAH 		 Score: 0.4403
Universal? So for everyone 		 Universal income for all without conditions 		 Score: 0.4403
AAH and universal income 		 Adjusted income 		 Score: 0.4403
What is the citizenship criterion to benefit from the RUA 		 PROPORTIONAL RUA 		 Score: 0.4402
People with disabilities living in poverty 		 1 parent with a disabled child 		 Score: 0.4402
The AAH must not be included in the Universal Activity Income 		 An income that adapts to recipients 		 Score: 0.4402
The AAH is not an activity income. 		 TO HOLDERS OF A RQTH (Recognition as a Disabled Worker) NOT RECEIVING THE AAH 		 Score: 0.4402
To be combined with family allowances 		 A basic income can only be universal, i.e. paid to all members of the community without condition. 		 Score: 0.4400
For all, without conditions. 		 For everyone individually, imposed 		 Score: 0.4400
The working poor 		 To all, on condition of income 		 Score: 0.4400
To all citizens according to resources / assets 		 universal activity income 		 Score: 0.4400
Any French citizen with an income of less than 5000 per month. 		 The French above all 		 Score: 0.4400
Decent income for the elderly 		 integrate the person with a disability and only his or her income 		 Score: 0.4400
RSA recipients 		 The RUA should not apply to AAH recipients 		 Score: 0.4400
RUA Elderly 		 Replace the AAH with the RUA 		 Score: 0.4399
Priority to single-parent families. 		 Equal Rights in Alternate Custody of Children 		 Score: 0.4399
TO ALL THE POOR 		 To the students! 		 Score: 0.4399
Including the APL in the RUA is not possible because what about disabled people on the AAH who have to stay outside the RUA? 		 What is the citizenship criterion to benefit from the RUA 		 Score: 0.4398
Integration of the aah in the RUA 		 counterpart of the RUA 		 Score: 0.4398
TO PEOPLE LOOKING FOR A JOB (without unemployment and without ANY INCOME) between 55 and 65 years old 		 Income for all upon reaching the age of majority 		 Score: 0.4398
Universal? So for everyone 		 Universal Income = Everyone over 18 years of age 		 Score: 0.4398
The AAH must not be included in the Universal Activity Income 		 universal income for all people with an income of less than €1500 net per month 		 Score: 0.4397
An income for all 		 Working poor and students 		 Score: 0.4397
Another vision of the activity income 		 A universal income close to the minimum wage 		 Score: 0.4397
AAH DISABLED ADULT ALLOWANCE OUTSIDE THE UNIVERSAL INCOME 		 Income for all upon reaching the age of majority 		 Score: 0.4396
To all citizens according to resources / assets 		 Everyone: it is a UNIVERSAL income 		 Score: 0.4396
Income for all persons below the poverty line 		 Every person in a situation of social and economic vulnerability, from the age of 18 		 Score: 0.4396
Universal income must be granted from the age of 18 		 a universal and Franco-French income 		 Score: 0.4395
no to the integration of the AAH in the RUA 		 The AAH is not an activity income. 		 Score: 0.4395
Only for single people without children because they do not receive the same amount of aid 		 To everyone below the poverty line. 		 Score: 0.4395
To all CITIZENS 		 To all but not to AAH recipients 		 Score: 0.4394
All persons of working age and unemployed 		 A Universal Income for All 		 Score: 0.4394
To all those who are in precariousness, poverty 		 Everyone: it is a UNIVERSAL income 		 Score: 0.4394
Activity income 		 AAH DISABLED ADULT ALLOWANCE OUTSIDE THE UNIVERSAL INCOME 		 Score: 0.4394
A universal income close to the minimum wage 		 To all those who receive a salary, an allowance or a pension below the smic. 		 Score: 0.4394
RUA FOR ALL 		 The AAH should not be included in the RUA. 		 Score: 0.4393
The AAH should not be included in the RUA. 		 RUA FOR ALL 		 Score: 0.4393
Objective 0 young people without resources and without support 		 Young people placed in and leaving the Children's Social Aid Service (under conditions) 		 Score: 0.4393
All the people 		 TO ALL THE POOR 		 Score: 0.4393
TO ALL THE POOR 		 All the people 		 Score: 0.4393
People with a balance of income below a certain level 		 Unemployed persons at the end of their entitlement (ASS) 		 Score: 0.4393
The disabled adult allowance, the APL and all the aids concerning the disability must not be included in the Universal Activity Income 		 Certainly not to people with disabilities 		 Score: 0.4393
The disabled adult allowance, the APL and all the aids concerning the disability must not be included in the Universal Activity Income 		 disabled person 		 Score: 0.4392
Extend the RUA to foreigners who have been legally resident for less than 5 years 		 Who should the Rua contact? 		 Score: 0.4392
Extend the RUA to foreigners who have been legally resident for less than 5 years 		 Who should the RUA contact? 		 Score: 0.4392
NO TO THE RUA YES TO HELP THE WORKING POOR 		 PROPORTIONAL RUA 		 Score: 0.4392
Any adult below the poverty line. 		 A Universal Income for All 		 Score: 0.4392
RUA with anti-fraud system 		 The RUA for everyone from birth to death. 		 Score: 0.4392
RUA for all without conditions 		 Accompaniment and access to employment cannot be dissociated from the RUA 		 Score: 0.4392
Justify a need and capacity to receive the RUA 		 Exclude from the RUA all disabled people receiving the AAH who, by definition, have a Substantial and Lasting Employment Restriction (RSDAE) 		 Score: 0.4392
Only for single people without children because they do not receive the same amount of aid 		 Universal income for all without conditions 		 Score: 0.4390
For all those experiencing poverty 		 AAH and universal income 		 Score: 0.4390
Decent income for the elderly 		 EVERYONE if it is a universal income 		 Score: 0.4390
Anyone with an income of less than 2000. 		 universal activity income 		 Score: 0.4390
No to the integration of the ASPA and the AAH in the RUA! 		 PROPORTIONAL RUA 		 Score: 0.4389
People with or without jobs, under certain conditions 		 Universal income for all without conditions 		 Score: 0.4389
Single parent and students 		 Parents on parental leave and stay-at-home parents 		 Score: 0.4389
RUA at 100% of the SMIC for disabled people who cannot or no longer work 		 To workers and those who are unable to work 		 Score: 0.4389
AAH is not an activity premium 		 To all but not to AAH recipients 		 Score: 0.4388
People receiving AAH should not be concerned 		 NO TO THE INCLUSION OF THE AAH IN THE FUTURE RUA 		 Score: 0.4388
right for any person with a pension below 1500 euros 		 To all, on condition of income 		 Score: 0.4387
RUA for all without conditions 		 Including the APL in the RUA is not possible because what about disabled people on the AAH who have to stay outside the RUA? 		 Score: 0.4387
Extend the RUA to foreigners who have been legally resident for less than 5 years 		 The RUA would be open to all persons with an income below the poverty line of 		 Score: 0.4386
ASSOCIATIVE VOLUNTEERS exercising RESPONSIBILITIES in the SOCIAL and SOLIDARITY sector. 		 Universal solidarity income, not activity income! 		 Score: 0.4386
People with disabilities living in poverty 		 A universal income for everyone 		 Score: 0.4386
To everyone below the poverty line. 		 Sick people, pensioners, trainees, poorest employees 		 Score: 0.4386
Single mothers and large families 		 INNOVATING for a MORE INCLUSIVE and less DISCRIMINATORY SOCIETY: CAREGIVERS and FAMILY CAREGIVERS 		 Score: 0.4385
Universal? So for everyone 		 Why merge the universal income and the Aah 		 Score: 0.4385
Solidarity in good order 		 Universal solidarity income, not activity income! 		 Score: 0.4385
Activity income 		 To all persons without income 		 Score: 0.4385
Activity income 		 To all persons without income 		 Score: 0.4385
The AAH is not a social minimum like any other 		 Exclude from the RUA all disabled people receiving the AAH who, by definition, have a Substantial and Lasting Employment Restriction (RSDAE) 		 Score: 0.4384
A RUA from 18 years old 		 Individualize the RUA rather than granting it to a household 		 Score: 0.4384
NO TO THE RUA YES TO HELP THE WORKING POOR 		 Universal solidarity income, not activity income! 		 Score: 0.4384
young people completing their studies 		 To the students! 		 Score: 0.4384
RUA Elderly 		 any major below this RUA 		 Score: 0.4383
A living wage for all French people 		 Universal income for all without conditions 		 Score: 0.4383
Replace the AAH with the RUA 		 Exclude from the RUA all disabled people receiving the AAH who, by definition, have a Substantial and Lasting Employment Restriction (RSDAE) 		 Score: 0.4383
For anyone who works 		 for all but with conditions 		 Score: 0.4383
People with disabilities living in poverty 		 who should receive a universal income 		 Score: 0.4383
A non-universal, non-activity-based income. 		 Income for all upon reaching the age of majority 		 Score: 0.4383
Every person in a situation of social and economic vulnerability, from the age of 18 		 To all those who are in precariousness, poverty 		 Score: 0.4382
From 16 years old according to certain eligibility criteria 		 Any adult without income or assets, regardless of age. 		 Score: 0.4382
disabled people and carers: real and potential consumers 		 Caregivers 		 Score: 0.4382
Working poor and students 		 Youth under 18 to 25 with no income 		 Score: 0.4382
The RUA is not adapted to all disability situations 		 For everyone except the disabled 		 Score: 0.4382
To any non-working person over 18 years of age who meets the following eligibility criteria: 		 Income for all upon reaching the age of majority 		 Score: 0.4382
To all those who receive a salary, an allowance or a pension below the smic. 		 UNIVERSAL BASIC INCOME 		 Score: 0.4382
For all audiences, subject to income conditions 		 EVERYONE if it is a universal income 		 Score: 0.4382
Integrating the Specific Solidarity Allowance (ASS) into the universal activity income? 		 a universal and Franco-French income 		 Score: 0.4381
Who should receive a universal income? 		 A living wage for all French people 		 Score: 0.4381
"RUA: to the so-called "precarious" people. AAH (+ possibly CR): to be maintained absolutely to the disabled people "" concerned!!!" 		 Person with a disability 		 Score: 0.4381
To all citizens according to resources / assets 		 Who can claim the Universal Activity Income 		 Score: 0.4381
NO to people with disabilities 		 HANDICAP should not be integrated into the RUA! 		 Score: 0.4381
Prorated RUA with income ceiling 		 "A real "Universal Income" for ALL, modular and conditional" 		 Score: 0.4381
I want the AAH to remain a full-fledged benefit. 		 TO HOLDERS OF A RQTH (Recognition as a Disabled Worker) NOT RECEIVING THE AAH 		 Score: 0.4380
The Supplementary Invalidity Allowance must absolutely remain outside the scope of the RUA as it was designed to supplement very small disability pensions of disabled people who have worked less than 10 years (chronic disabling diseases) 		 counterpart of the RUA 		 Score: 0.4380
All the people 		 All people receive social assistance. 		 Score: 0.4380
All the people 		 All people receive social assistance. 		 Score: 0.4380
The RUA is not adapted to all disability situations 		 RUA instead of ISF deduction 		 Score: 0.4380
UNIVERSAL INCOME 		 TO ALL THE POOR 		 Score: 0.4380
Exclude the AAH from the RUA 		 employment or RUA 		 Score: 0.4380
Student Aid 		 Social aids 		 Score: 0.4380
People with disabilities living in poverty 		 To all, on condition of income 		 Score: 0.4379
Only for single people without children because they do not receive the same amount of aid 		 income granted to any person without work and without benefit from the beginning of the precariousness and without condition of resources going back to the year before 		 Score: 0.4379
To all citizens according to resources / assets 		 UNIVERSAL INCOME 		 Score: 0.4379
Who is the target audience? 		 For all audiences, subject to income conditions 		 Score: 0.4379
For everyone except the disabled 		 To workers and those who are unable to work 		 Score: 0.4379
Young people, students, handicapped people, elderly people 		 Exclude the Allocation for Disabled Adults from the Universal Activity Income. 		 Score: 0.4378
LAAH is not just another minimum. 		 The AAH is not a social minimum like any other 		 Score: 0.4378
TO PEOPLE LOOKING FOR A JOB (without unemployment and without ANY INCOME) between 55 and 65 years old 		 Anyone with an income of less than 2000. 		 Score: 0.4378
NO to people with disabilities 		 Young people, students, handicapped people, elderly people 		 Score: 0.4378
Older people in poverty 		 RUA Elderly 		 Score: 0.4377
Universal revenue 		 For all those experiencing poverty 		 Score: 0.4377
AAH (Allocation adulte Handicapé) - Who says activity says being able to work 		 that says activity says salary 		 Score: 0.4376
The parent who is forced to stop working to care for his or her disabled child 		 All adults and emancipated minors 		 Score: 0.4376
To parents on parental leave 		 All adults and emancipated minors 		 Score: 0.4376
RUA Elderly 		 Exclude from the RUA all disabled people receiving the AAH who, by definition, have a Substantial and Lasting Employment Restriction (RSDAE) 		 Score: 0.4376
RUA with anti-fraud system 		 "In RUA, there is 'universal'" 		 Score: 0.4376
Extend the RUA to foreigners who have been legally resident for less than 5 years 		 RUA 		 Score: 0.4376
Extend the RUA to foreigners who have been legally resident for less than 5 years 		 RUA 		 Score: 0.4376
RUA 		 Extend the RUA to foreigners who have been legally resident for less than 5 years 		 Score: 0.4376
RUA 		 Extend the RUA to foreigners who have been legally resident for less than 5 years 		 Score: 0.4376
Extend the RUA to foreigners who have been legally resident for less than 5 years 		 RUA 		 Score: 0.4376
Extend the RUA to foreigners who have been legally resident for less than 5 years 		 RUA 		 Score: 0.4376
To all those who are in precariousness, poverty 		 To All from birth and throughout life 		 Score: 0.4376
For everyone except the disabled 		 integrate the person with a disability and only his or her income 		 Score: 0.4375
To all without exception 		 To All from birth and throughout life 		 Score: 0.4375
The UK in place of all other benefits 		 What about pensioners? 		 Score: 0.4375
Exclude from the RUA all disabled people receiving the AAH who, by definition, have a Substantial and Lasting Employment Restriction (RSDAE) 		 No to the integration of the ASPA and the AAH in the RUA! 		 Score: 0.4375
NO to the question on People with disabilities living in poverty 		 Objective 0 young people without resources and without support 		 Score: 0.4375
Youth under 18 to 25 with no income 		 Exclude the Allocation for Disabled Adults from the Universal Activity Income. 		 Score: 0.4375
Active Vital Income and the economy 		 Universal income to replace all national benefits 		 Score: 0.4375
NO TO THE RUA YES TO HELP THE WORKING POOR 		 To all, on condition of income 		 Score: 0.4374
Only for single people without children because they do not receive the same amount of aid 		 Bonus for single persons 		 Score: 0.4374
To parents on parental leave 		 + the 2nd parent 		 Score: 0.4373
Prorated RUA with income ceiling 		 Adjusted income 		 Score: 0.4373
To workers and those who are unable to work 		 to people yes to the complexity of individuals and their situations 		 Score: 0.4373
Why merge the universal income and the Aah 		 Universal means for all! 		 Score: 0.4372
Verify the actual income of the beneficiaries 		 Who should receive a universal income? 		 Score: 0.4372
NO TO THE INCLUSION OF THE AAH IN THE FUTURE RUA 		 The RUA would be open to all persons with an income below the poverty line of 		 Score: 0.4372
The AAH without taking into account the spouse's income 		 Exclude the Allocation for Disabled Adults from the Universal Activity Income. 		 Score: 0.4372
To be combined with family allowances 		 Who should the Universal Activity Income be aimed at? 		 Score: 0.4371
development income 		 For all audiences, subject to income conditions 		 Score: 0.4371
The RUA should be open to all adults of age! 		 To all adults and emancipated minors 		 Score: 0.4371
1 parent with a disabled child 		 Unrecognized or partially recognized disabilities 		 Score: 0.4371
Any person living on French territory, without any other condition. 		 People with or without jobs, under certain conditions 		 Score: 0.4371
Exclude from the RUA all disabled people receiving the AAH who, by definition, have a Substantial and Lasting Employment Restriction (RSDAE) 		 By experience at the time of the increase of the aah the government took advantage of it to remove the complement of resources an assistance envisaged e for the most heavily handicapped by replacing it by an inferior assistance under conditions to touch the apl 		 Score: 0.4371
The AAH must not be included in the Universal Activity Income 		 To all but not to AAH recipients 		 Score: 0.4370
An income that adapts to recipients 		 a universal and Franco-French income 		 Score: 0.4370
Another vision of the activity income 		 A basic income can only be universal, i.e. paid to all members of the community without condition. 		 Score: 0.4370
AAH and universal income 		 the AAH must not become RUA 		 Score: 0.4369
To the middle classes 		 TO ALL STUDENTS WITHOUT DISTINCTION 		 Score: 0.4368
To the middle classes 		 TO ALL STUDENTS WITHOUT DISTINCTION 		 Score: 0.4368
All the poor except the disabled 		 UNIVERSAL INCOME 		 Score: 0.4368
UNIVERSAL is for everyone 		 For every human being, regardless of age or nationality. 		 Score: 0.4368
A basic income can only be universal, i.e. paid to all members of the community without condition. 		 Activity income 		 Score: 0.4368
Universal income must be granted from the age of 18 		 The RUA would be open to all persons with an income below the poverty line of 		 Score: 0.4367
Any French citizen with an income of less than 5000 per month. 		 TO ALL THE FRENCH PEOPLE 		 Score: 0.4367
Universal . 		 Preference 		 Score: 0.4367
All the poor except the disabled 		 a distinction must be made between people who are forced to work due to illness or disability and other situations 		 Score: 0.4367
Establish an asset ceiling 		 Doing the same thing as the activity allowance with the same resource ceiling 		 Score: 0.4367
Single parent and students 		 All adults and emancipated minors 		 Score: 0.4367
Who is the RUA for? 		 NO TO THE INCLUSION OF THE AAH IN THE FUTURE RUA 		 Score: 0.4367
TO ALL FRENCH CITIZENS 		 For every human being, regardless of age or nationality. 		 Score: 0.4367
To all French citizens 		 For every human being, regardless of age or nationality. 		 Score: 0.4367
Another vision of the activity income 		 AAH (Allocation adulte Handicapé) - Who says activity says being able to work 		 Score: 0.4367
For all from 18 years old 		 From 16 years old according to certain eligibility criteria 		 Score: 0.4366
To whom should the universal activity income be addressed? 		 The integration of new publics implies an increase in social expenditure 		 Score: 0.4366
Universal? So for everyone 		 For everyone except the disabled 		 Score: 0.4366
Single parent and students 		 For students living more than 100km from their parents. 		 Score: 0.4366
Aah 		 People receiving AAH should not be concerned 		 Score: 0.4366
People receiving AAH should not be concerned 		 Aah 		 Score: 0.4366
People receiving AAH should not be concerned 		 AAH 		 Score: 0.4366
People receiving AAH should not be concerned 		 AAH 		 Score: 0.4366
People receiving AAH should not be concerned 		 AAH 		 Score: 0.4366
People receiving AAH should not be concerned 		 AAH 		 Score: 0.4366
People receiving AAH should not be concerned 		 aah 		 Score: 0.4366
Another vision of the activity income 		 The RUA would be open to all persons with an income below the poverty line of 		 Score: 0.4366
To all law-abiding French people. 		 a universal and Franco-French income 		 Score: 0.4366
TO WHO? TO ALL 		 To all but not to AAH recipients 		 Score: 0.4365
THE THEORY OF UNIVERSAL INCOME 		 Adjusted income 		 Score: 0.4365
People with disabilities living in poverty 		 UNIVERSAL INCOME 		 Score: 0.4365
A non-universal, non-activity-based income. 		 The AAH without taking into account the spouse's income 		 Score: 0.4365
UNIVERSAL is for everyone 		 AAH and universal income 		 Score: 0.4365
All persons of working age and unemployed 		 AAH DISABLED ADULT ALLOWANCE OUTSIDE THE UNIVERSAL INCOME 		 Score: 0.4365
the poorest quarter of the over-16s, quite simply 		 The working poor 		 Score: 0.4364
Extend the RUA to foreigners who have been legally resident for less than 5 years 		 employment or RUA 		 Score: 0.4364
"In RUA, there is 'universal'" 		 PROPORTIONAL RUA 		 Score: 0.4364
Activity income 		 Income for all upon reaching the age of majority 		 Score: 0.4364
To be combined with family allowances 		 To all potential beneficiaries without exception 		 Score: 0.4364
Activity income 		 FOR A TRULY UNIVERSAL BASIC INCOME 		 Score: 0.4363
Exclude the AAH from the RUA 		 dissociate AAH from other income 		 Score: 0.4363
To anyone to help achieve a decent income 		 A minimum income for everyone who has reached the age of majority or is emancipated 		 Score: 0.4363
NO TO THE RUA YES TO HELP THE WORKING POOR 		 No to the integration of the ASPA and the AAH in the RUA! 		 Score: 0.4363
TO ALL STUDENTS WITHOUT DISTINCTION 		 Student Aid 		 Score: 0.4363
TO ALL STUDENTS WITHOUT DISTINCTION 		 Student Aid 		 Score: 0.4363
The AAH is not a social minimum like any other 		 To all but not to AAH recipients 		 Score: 0.4363
who should receive a universal income 		 Verify the actual income of the beneficiaries 		 Score: 0.4363
An income for all 		 All employees at the minimum wage 		 Score: 0.4363
Disabled persons who are UNABLE TO WORK (80% or more) cannot claim an INCOME but a specific allowance such as AAH. 		 People with a balance of income below a certain level 		 Score: 0.4362
Single Minimum Income RMU 		 Universal Income = Everyone over 18 years of age 		 Score: 0.4362
To all CITIZENS 		 1000 TO ALL LIFE 		 Score: 0.4362
To all 		 All the people 		 Score: 0.4362
To all 		 All the people 		 Score: 0.4362
To all 		 All the people 		 Score: 0.4362
To all 		 All the people 		 Score: 0.4362
To all 		 All the people 		 Score: 0.4362
To all 		 All the people 		 Score: 0.4362
To all 		 All the people 		 Score: 0.4362
To all 		 All the people 		 Score: 0.4362
All the people 		 To all 		 Score: 0.4362
All the people 		 To all 		 Score: 0.4362
All the people 		 To all 		 Score: 0.4362
All the people 		 To All 		 Score: 0.4362
To all 		 All the people 		 Score: 0.4362
All the people 		 To all 		 Score: 0.4362
All the people 		 To all 		 Score: 0.4362
All the people 		 To All 		 Score: 0.4362
Including the APL in the RUA is not possible because what about disabled people on the AAH who have to stay outside the RUA? 		 counterpart of the RUA 		 Score: 0.4362
To anyone to help achieve a decent income 		 A universal income close to the minimum wage 		 Score: 0.4362
To all citizens according to resources / assets 		 TO ALL THE POOR 		 Score: 0.4361
To everyone, living on French territory and filling out a tax form and not reaching a certain ceiling! 		 A universal income for everyone 		 Score: 0.4361
Solidarity in good order 		 Universal AND supportive 		 Score: 0.4361
Older people in poverty 		 Anyone with an income of less than 2000. 		 Score: 0.4360
Income for all persons below the poverty line 		 To be combined with family allowances 		 Score: 0.4360
NO to the question on People with disabilities living in poverty 		 Universal Income = Everyone over 18 years of age 		 Score: 0.4360
The RUA cannot be used for recipients of the AAH and all other forms of aid for people with disabilities 		 Prorated RUA with income ceiling 		 Score: 0.4359
Income for all upon reaching the age of majority 		 EQUALITY FOR ALL FROM 18 YEARS OF AGE 		 Score: 0.4359
People with disabilities and their families experiencing poverty 		 Universal solidarity income, not activity income! 		 Score: 0.4359
The AAH must not be included in the Universal Activity Income 		 Single Minimum Income RMU 		 Score: 0.4358
To all! It would be enough to create a UNIVERSAL income (and not a universal activity income). 		 Activity allowance 		 Score: 0.4358
no to the integration of the AAH in the RUA 		 NO TO THE RUA YES TO HELP THE WORKING POOR 		 Score: 0.4358
Decent income for the elderly 		 A non-universal, non-activity-based income. 		 Score: 0.4358
Every person in a situation of social and economic vulnerability, from the age of 18 		 The RUA would be open to all persons with an income below the poverty line of 		 Score: 0.4357
Young people, students, handicapped people, elderly people 		 Unrecognized or partially recognized disabilities 		 Score: 0.4357
The disabled adult allowance, the APL and all the aids concerning the disability must not be included in the Universal Activity Income 		 By experience at the time of the increase of the aah the government took advantage of it to remove the complement of resources an assistance envisaged e for the most heavily handicapped by replacing it by an inferior assistance under conditions to touch the apl 		 Score: 0.4357
Individualize the RUA rather than granting it to a household 		 To all, on condition of income 		 Score: 0.4357
Young people experiencing poverty 		 young people completing their studies 		 Score: 0.4357
Do not make Rua for the mentally disabled 		 No RUA for people in indelicacy with justice and civic-mindedness... 		 Score: 0.4357
Opening the Universal Activity Income to a wider public without harming the current RSA public 		 Activity allowance 		 Score: 0.4357
The net resource per household: steering aid through the gaps 		 development income 		 Score: 0.4356
The parent who is forced to stop working to care for his or her disabled child 		 Exclude the Allocation for Disabled Adults from the Universal Activity Income. 		 Score: 0.4356
To all citizens as a real universal income is supposed to be 		 Universal under conditions? 		 Score: 0.4356
People with a balance of income below a certain level 		 Who can claim the Universal Activity Income 		 Score: 0.4356
People with a balance of income below a certain level 		 The AAH without taking into account the spouse's income 		 Score: 0.4356
the universal income, as its name indicates, must apply to everyone. 		 A living wage for all French people 		 Score: 0.4356
All the poor except the disabled 		 To all, on condition of income 		 Score: 0.4356
Older people in poverty 		 To anyone to help achieve a decent income 		 Score: 0.4355
Older people in poverty 		 What about pensioners? 		 Score: 0.4355
All the poor except the disabled 		 Anyone with an income of less than 2000. 		 Score: 0.4355
Individual consideration of financial resources 		 For all audiences, subject to income conditions 		 Score: 0.4354
To all persons with an income below 800 euros/month 		 Adjusted income 		 Score: 0.4354
The RUA is not adapted to all disability situations 		 Disability pension and transition to retirement 		 Score: 0.4354
To all adults and emancipated minors 		 To all persons without income 		 Score: 0.4354
To all adults and emancipated minors 		 To all persons without income 		 Score: 0.4354
Adjusted income 		 Exclude the Allocation for Disabled Adults from the Universal Activity Income. 		 Score: 0.4354
An income that adapts to recipients 		 Individualize the RUA rather than granting it to a household 		 Score: 0.4354
Active Vital Income and the economy 		 Working poor and students 		 Score: 0.4354
TO ALL FRENCH CITIZENS 		 To all citizens according to resources / assets 		 Score: 0.4354
To all French citizens 		 To all citizens according to resources / assets 		 Score: 0.4354
income granted to any person without work and without benefit from the beginning of the precariousness and without condition of resources going back to the year before 		 Youth under 18 to 25 with no income 		 Score: 0.4353
Disability pension and transition to retirement 		 No to the untimely revision of disability rates (MDPH) and invalidity rates (CPAM) in order to get as many people as possible into the RUA 		 Score: 0.4353
Young people, students, handicapped people, elderly people 		 To the students! 		 Score: 0.4353
People with or without jobs, under certain conditions 		 Stop helping people who can work without asking for anything in return 		 Score: 0.4353
People with disabilities and their families experiencing poverty 		 People with or without jobs, under certain conditions 		 Score: 0.4353
Universal means for all! 		 FOR A TRULY UNIVERSAL BASIC INCOME 		 Score: 0.4352
Universal solidarity income, not activity income! 		 that says activity says salary 		 Score: 0.4352
To all people in temporary or permanent difficulty 		 A commitment to oneself and to society 		 Score: 0.4352
RUA instead of ISF deduction 		 The Supplementary Invalidity Allowance must absolutely remain outside the scope of the RUA as it was designed to supplement very small disability pensions of disabled people who have worked less than 10 years (chronic disabling diseases) 		 Score: 0.4351
"Let's avoid polluting the public debate! Words have a meaning: "Universal" means "which applies to all cases"! 		 To all citizens, means-tested only 		 Score: 0.4351
for all according to income 		 AAH DISABLED ADULT ALLOWANCE OUTSIDE THE UNIVERSAL INCOME 		 Score: 0.4351
All employees at the minimum wage 		 Everyone: it is a UNIVERSAL income 		 Score: 0.4350
RUA at 100% of the SMIC for disabled people who cannot or no longer work 		 Individualize the RUA rather than granting it to a household 		 Score: 0.4350
Active Vital Income and the economy 		 Anyone with an income of less than 2000. 		 Score: 0.4350
An income for all 		 Any French citizen with an income of less than 5000 per month. 		 Score: 0.4349
the AAH must not become RUA 		 RU for whom 		 Score: 0.4349
The UK in place of all other benefits 		 a universal income 		 Score: 0.4349
The disabled adult allowance, the APL and all the aids concerning the disability must not be included in the Universal Activity Income 		 No to the untimely revision of disability rates (MDPH) and invalidity rates (CPAM) in order to get as many people as possible into the RUA 		 Score: 0.4348
Who should the Universal Activity Income be aimed at? 		 The integration of new publics implies an increase in social expenditure 		 Score: 0.4348
